objectID,title,artistDisplayName,artistRole,objectDate,period,culture,medium,dimensions,department,objectURL,primaryImage,primaryImageSmall,isPublicDomain,localImageFileName,artist_slug,object_year,has_local_image,image_path,metadata_source
337497,Studies for the Libyan Sibyl (recto); Studies for the Libyan Sibyl and a small Sketch for a Seated Figure (verso),Michelangelo Buonarroti,Artist,ca. 1510–11,,,"Red chalk, with small accents of white chalk on the left shoulder of the figure in the main study (recto); soft black chalk, or less probably charcoal (verso)","Sheet: 11 3/8 × 8 7/16 in. (28.9 × 21.4 cm)
Framed: 21 × 16 in. (53.3 × 40.6 cm)",Drawings and Prints,https://www.metmuseum.org/art/collection/search/337497,https://images.metmuseum.org/CRDImages/dp/original/DP826907.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP826907.jpg,True,michelangelo_buonarroti_337497.jpg,michelangelo_buonarroti,1510.0,True,met_art_data/images/michelangelo_buonarroti_337497.jpg,met_collection_api_2026-04-09
845128,Chinese poem on seeking a reclusive life in the mountains,Yelan Xinggui,Artist,mid-17th century,Edo period (1615–1868),Japan,Hanging scroll; ink on paper,"Image: 49 × 10 3/4 in. (124.5 × 27.3 cm)
Overall with mounting: 80 3/16 × 17 3/4 in. (203.7 × 45.1 cm)
Overall with knobs: 80 3/16 × 20 1/8 in. (203.7 × 51.1 cm)",Asian Art,https://www.metmuseum.org/art/collection/search/845128,https://images.metmuseum.org/CRDImages/as/original/DP-21861-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-21861-002.jpg,True,yelan_xinggui_845128.jpg,yelan_xinggui,,True,met_art_data/images/yelan_xinggui_845128.jpg,met_collection_api_2026-04-09
365958,Monsieur de St. George,William Ward,Engraver,"April 4, 1788",,,Mezzotint; third state of three,"plate: 14 7/8 x 10 7/8 in. (37.8 x 27.6 cm)
sheet: 16 1/2 x 12 5/16 in. (41.9 x 31.2 cm)",Drawings and Prints,https://www.metmuseum.org/art/collection/search/365958,https://images.metmuseum.org/CRDImages/dp/original/DP819235.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP819235.jpg,True,william_ward_365958.jpg,william_ward,1788.0,True,met_art_data/images/william_ward_365958.jpg,met_collection_api_2026-04-09
733847,Famous Women,Gai Qi,Artist,dated 1799,Qing dynasty (1644–1911),China,Album of sixteen leaves; ink on paper,"Image (each): 9 3/4 × 6 5/8 in. (24.8 × 16.8 cm)
Double-page leaf (each): 12 3/8 × 16 in. (31.4 × 40.6 cm)",Asian Art,https://www.metmuseum.org/art/collection/search/733847,https://images.metmuseum.org/CRDImages/as/original/DP-14152-011.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-14152-011.jpg,True,gai_qi_733847.jpg,gai_qi,1799.0,True,met_art_data/images/gai_qi_733847.jpg,met_collection_api_2026-04-09
437859,Portrait of a Woman,Giovanni di Francesco del Cervelliera,Artist,ca. 1445,,,Tempera on wood,16 1/4 x 12 1/4 in. (41.3 x 31.1 cm),European Paintings,https://www.metmuseum.org/art/collection/search/437859,https://images.metmuseum.org/CRDImages/ep/original/DP161259.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP161259.jpg,True,giovanni_di_francesco_del_cervelliera_437859.jpg,giovanni_di_francesco_del_cervelliera,1445.0,True,met_art_data/images/giovanni_di_francesco_del_cervelliera_437859.jpg,met_collection_api_2026-04-09
200876,Potpourri jar,Louis Poterat Manufactory,Manufactory,ca. 1690–95,,,Soft-paste porcelain decorated in underglaze blue,Overall (confirmed): 5 x 5 x 5 in. (12.7 x 12.7 x 12.7 cm),European Sculpture and Decorative Arts,https://www.metmuseum.org/art/collection/search/200876,https://images.metmuseum.org/CRDImages/es/original/DP156491.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP156491.jpg,True,louis_poterat_manufactory_200876.jpg,louis_poterat_manufactory,1690.0,True,met_art_data/images/louis_poterat_manufactory_200876.jpg,met_collection_api_2026-04-09
451894,Pictorial Carpet,Unknown Artist,,17th century,,,"Silk (warp, weft, and pile), metal wrapped thread; asymmetrically knotted pile, brocaded","Rug: L. 91 1/2 in. (232.4 cm)
          W. 68 in. (172.7 cm)
Tube: Diam. 6 1/2 in. (16.5 cm)
           W. 82 in. (208.3 cm)",Islamic Art,https://www.metmuseum.org/art/collection/search/451894,https://images.metmuseum.org/CRDImages/is/original/DP169947.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP169947.jpg,True,unknown_artist_451894.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_451894.jpg,met_collection_api_2026-04-09
451274,"""Haji Husain Bukhari"", Folio from the Shah Jahan Album",Unknown Artist,,recto: early 19th century; verso: later copy of 16th century original,,,"Ink, opaque watercolor, and gold on paper","H. 15 1/4 in. (38.7 cm)
W. 10 5/16 in. (26.2 cm)",Islamic Art,https://www.metmuseum.org/art/collection/search/451274,https://images.metmuseum.org/CRDImages/is/original/DP246556.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP246556.jpg,True,unknown_artist_451274.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_451274.jpg,met_collection_api_2026-04-09
436522,A Benedictine Monk,Hugo van der Goes,Artist,,,,Oil on wood,"Overall 9 7/8 x 7 3/8 in. (25.1 x 18.7 cm), with added strip of 3/4 in. (1.9 cm) at right",European Paintings,https://www.metmuseum.org/art/collection/search/436522,https://images.metmuseum.org/CRDImages/ep/original/DP-19585-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19585-001.jpg,True,hugo_van_der_goes_436522.jpg,hugo_van_der_goes,,True,met_art_data/images/hugo_van_der_goes_436522.jpg,met_collection_api_2026-04-09
39482,Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),Unknown Artist,,early 14th century,Nanbokuchō period (1336–92),Japan,"Hanging scroll; ink, color, gold, and cut gold on silk","Image: 29 3/4 in. × 15 in. (75.6 × 38.1 cm)
Overall with mounting: 62 1/2 x 20 1/2 in. (158.8 x 52.1 cm)
Overall with knobs: 62 1/2 x 22 1/2 in. (158.8 x 57.2 cm)",Asian Art,https://www.metmuseum.org/art/collection/search/39482,https://images.metmuseum.org/CRDImages/as/original/DT374578.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DT374578.jpg,True,unknown_artist_39482.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_39482.jpg,met_collection_api_2026-04-09
